row_id,day_hour,client_ip,no_get,no_post,no_head
46,01/22/2019 04,104.194.24.34,1,1,1
47,01/22/2019 04,2.177.12.141,9,9,9
48,01/22/2019 04,54.36.148.19,0,1,1
49,01/22/2019 04,5.112.52.255,1,1,1
50,01/22/2019 04,54.36.149.93,0,1,1
51,01/22/2019 04,54.36.148.11,1,1,1
52,01/22/2019 04,204.18.198.249,6,7,7
53,01/22/2019 04,40.77.167.130,4,4,4
54,01/22/2019 04,66.111.54.250,8,8,8
55,01/22/2019 04,66.249.66.195,24,26,25
56,01/22/2019 04,5.209.200.219,6,6,6
57,01/22/2019 04,54.36.149.42,1,0,1
58,01/22/2019 04,54.36.149.18,1,1,1
59,01/22/2019 04,31.56.96.52,9,9,9
60,01/22/2019 04,54.36.148.233,1,1,1
61,01/22/2019 04,157.55.39.246,3,3,3
62,01/22/2019 04,66.249.66.92,17,18,18
63,01/22/2019 04,66.249.64.67,1,0,1
64,01/22/2019 04,51.15.15.55,2,2,2
65,01/22/2019 04,2.179.141.99,3,3,3
66,01/22/2019 04,207.46.13.116,4,4,4
67,01/22/2019 04,2.185.221.80,0,1,1
68,01/22/2019 04,178.253.33.52,4,5,5
69,01/22/2019 04,173.249.54.68,4,5,4
70,01/22/2019 04,46.224.77.33,3,3,3
71,01/22/2019 04,5.78.180.76,1,1,1
72,01/22/2019 04,54.36.149.59,1,1,1
73,01/22/2019 04,54.36.148.162,1,1,1
74,01/22/2019 04,5.160.157.21,1,1,1
75,01/22/2019 04,54.36.149.71,1,1,1
76,01/22/2019 04,54.36.148.118,1,1,1
77,01/22/2019 04,54.36.148.33,1,1,1
78,01/22/2019 04,54.36.149.64,1,1,1
79,01/22/2019 04,5.78.198.53,11,12,12
80,01/22/2019 04,54.36.148.18,1,1,1
81,01/22/2019 04,172.20.2.175,1,1,1
82,01/22/2019 04,5.62.206.250,1,1,1
83,01/22/2019 04,54.36.148.88,1,1,1
84,01/22/2019 04,207.46.13.137,10,10,11
85,01/22/2019 04,17.58.102.44,3,3,3
86,01/22/2019 04,89.199.193.252,1,1,1
87,01/22/2019 04,34.247.132.54,1,1,1
88,01/22/2019 04,207.46.13.105,6,6,6
89,01/22/2019 04,54.36.149.36,1,1,1
90,01/22/2019 04,91.99.72.16,13,16,16
91,01/22/2019 05,5.112.53.255,1,1,1
92,01/22/2019 05,54.36.148.20,1,1,1
93,01/22/2019 05,66.249.66.196,25,25,25
94,01/22/2019 05,157.55.39.247,3,3,3
95,01/22/2019 05,2.185.221.81,1,1,1
96,01/22/2019 05,31.56.96.53,9,9,9
97,01/22/2019 05,207.46.13.117,4,4,4
98,01/22/2019 05,2.179.141.100,3,3,3
99,01/22/2019 05,5.211.97.41,10,12,12
100,01/22/2019 05,89.199.193.253,1,1,1
101,01/22/2019 05,54.36.148.119,1,1,1
102,01/22/2019 05,54.36.149.19,1,1,1
103,01/22/2019 05,54.36.149.43,1,1,1
104,01/22/2019 05,34.247.132.55,1,1,1
105,01/22/2019 05,54.36.148.34,1,1,1
106,01/22/2019 05,54.36.149.65,1,1,1
107,01/22/2019 05,104.194.24.35,1,1,1
108,01/22/2019 05,5.209.200.220,6,6,6
109,01/22/2019 05,46.224.77.34,3,3,3
110,01/22/2019 05,172.20.2.176,1,1,1
111,01/22/2019 05,173.249.54.69,5,5,5
112,01/22/2019 05,54.36.148.234,1,1,1
113,01/22/2019 05,204.18.198.250,7,7,6
114,01/22/2019 05,54.36.149.94,1,1,1
115,01/22/2019 05,54.36.149.60,1,1,1
116,01/22/2019 05,54.36.148.19,1,1,1
117,01/22/2019 05,54.36.148.89,1,1,1
118,01/22/2019 05,17.58.102.45,3,3,3
119,01/22/2019 05,5.160.157.22,1,1,1
120,01/22/2019 05,40.77.167.131,4,4,4
121,01/22/2019 05,178.253.33.53,4,5,5
122,01/22/2019 05,5.62.206.251,1,1,1
123,01/22/2019 05,66.249.64.68,1,1,1
124,01/22/2019 05,2.177.12.142,8,9,9
125,01/22/2019 05,51.15.15.56,2,2,2
126,01/22/2019 05,54.36.149.37,1,1,1
127,01/22/2019 05,66.249.66.93,16,17,16
128,01/22/2019 05,54.36.148.163,1,1,1
129,01/22/2019 05,54.36.148.12,1,1,1
130,01/22/2019 05,207.46.13.106,6,6,6
131,01/22/2019 05,207.46.13.138,10,9,11
132,01/22/2019 05,5.78.198.54,12,10,12
133,01/22/2019 05,66.111.54.251,8,8,8
134,01/22/2019 05,5.78.180.77,1,1,1
135,01/22/2019 05,54.36.149.72,1,1,1
136,01/22/2019 05,91.99.72.17,16,15,16
137,01/22/2019 06,204.18.198.251,7,7,7
138,01/22/2019 06,5.62.206.252,1,1,1
139,01/22/2019 06,54.36.149.20,1,1,1
140,01/22/2019 06,40.77.167.132,4,4,4
141,01/22/2019 06,5.78.180.78,1,1,1
142,01/22/2019 06,54.36.149.61,0,1,1
143,01/22/2019 06,54.36.148.21,1,1,1
144,01/22/2019 06,2.177.12.143,9,9,9
145,01/22/2019 06,5.160.157.23,1,1,1
146,01/22/2019 06,54.36.148.164,1,1,1
147,01/22/2019 06,207.46.13.107,6,6,5
148,01/22/2019 06,54.36.149.44,1,1,1
149,01/22/2019 06,2.185.221.82,1,1,1
150,01/22/2019 06,54.36.148.235,1,1,1
151,01/22/2019 06,54.36.148.35,1,1,1
152,01/22/2019 06,173.249.54.70,5,5,5
153,01/22/2019 06,178.253.33.54,5,5,5
154,01/22/2019 06,34.247.132.56,1,1,1
155,01/22/2019 06,91.99.72.18,14,15,16
156,01/22/2019 06,54.36.149.38,0,1,1
157,01/22/2019 06,66.111.54.252,8,8,8
158,01/22/2019 06,66.249.64.69,1,1,1
159,01/22/2019 06,46.224.77.35,3,3,3
160,01/22/2019 06,172.20.2.177,1,1,1
161,01/22/2019 06,66.249.66.197,25,25,26
162,01/22/2019 06,66.249.66.94,17,17,17
163,01/22/2019 06,2.179.141.101,3,3,3
164,01/22/2019 06,104.194.24.36,1,1,1
165,01/22/2019 06,89.199.193.254,1,1,1
166,01/22/2019 06,54.36.148.20,1,1,1
167,01/22/2019 06,5.112.54.255,1,1,1
168,01/22/2019 06,54.36.148.90,1,1,1
169,01/22/2019 06,31.56.96.54,9,9,9
170,01/22/2019 06,54.36.149.73,1,1,1
171,01/22/2019 06,157.55.39.248,3,3,3
172,01/22/2019 06,17.58.102.46,3,2,3
173,01/22/2019 06,207.46.13.118,3,3,4
174,01/22/2019 06,5.209.200.221,6,6,6
175,01/22/2019 06,207.46.13.139,10,11,11
176,01/22/2019 06,54.36.148.120,1,1,1
177,01/22/2019 06,54.36.149.95,1,1,1
178,01/22/2019 06,54.36.148.13,1,1,1
179,01/22/2019 06,54.36.149.66,1,1,1
180,01/22/2019 06,51.15.15.57,2,2,0
181,01/22/2019 06,5.78.198.55,10,12,12
182,01/22/2019 06,5.211.97.42,12,12,12
183,01/22/2019 07,54.36.148.236,0,1,1
184,01/22/2019 07,17.58.102.47,3,3,3
185,01/22/2019 07,5.78.180.79,1,0,1
186,01/22/2019 07,5.160.157.24,1,1,1
187,01/22/2019 07,5.62.206.253,1,1,1
188,01/22/2019 07,173.249.54.71,4,5,5
189,01/22/2019 07,207.46.13.108,6,6,6
190,01/22/2019 07,2.185.221.83,1,1,1
191,01/22/2019 07,66.249.64.70,1,1,1
192,01/22/2019 07,34.247.132.57,1,1,0
193,01/22/2019 07,66.249.66.95,18,17,17
194,01/22/2019 07,5.78.198.56,11,11,10
195,01/22/2019 07,66.249.66.198,24,26,25
196,01/22/2019 07,2.177.12.144,9,9,8
197,01/22/2019 07,54.36.148.21,1,0,1
198,01/22/2019 07,172.20.2.178,1,1,1
199,01/22/2019 07,5.211.97.43,12,10,11
200,01/22/2019 07,46.224.77.36,3,3,3
201,01/22/2019 07,89.199.193.255,1,1,1
202,01/22/2019 07,54.36.149.39,1,1,1
203,01/22/2019 07,40.77.167.133,4,3,4
204,01/22/2019 07,54.36.148.91,1,1,1
205,01/22/2019 07,31.56.96.55,9,9,9
206,01/22/2019 07,54.36.149.21,1,1,1
207,01/22/2019 07,66.111.54.253,8,8,8
208,01/22/2019 07,207.46.13.119,4,4,4
209,01/22/2019 07,54.36.148.121,1,1,1
210,01/22/2019 07,54.36.149.96,1,1,1
211,01/22/2019 07,54.36.149.45,1,1,1
212,01/22/2019 07,204.18.198.252,6,7,7
213,01/22/2019 07,54.36.148.14,1,1,1
214,01/22/2019 07,104.194.24.37,1,1,1
215,01/22/2019 07,54.36.149.74,1,1,1
216,01/22/2019 07,54.36.149.67,1,1,1
217,01/22/2019 07,2.179.141.102,3,3,3
218,01/22/2019 07,207.46.13.140,10,10,11
219,01/22/2019 07,91.99.72.19,16,15,16
220,01/22/2019 07,54.36.148.22,1,1,1
221,01/22/2019 07,5.209.200.222,6,6,4
222,01/22/2019 07,157.55.39.249,3,3,3
223,01/22/2019 07,54.36.148.165,1,1,1
224,01/22/2019 07,51.15.15.58,2,2,2
225,01/22/2019 07,54.36.148.36,1,1,1
226,01/22/2019 07,54.36.149.62,1,1,1
227,01/22/2019 07,5.112.55.255,1,1,1
228,01/22/2019 07,178.253.33.55,5,5,5
229,01/22/2019 08,54.36.148.122,1,1,1
230,01/22/2019 08,5.211.97.44,12,12,11
231,01/22/2019 08,54.36.148.166,1,1,1
232,01/22/2019 08,207.46.13.109,6,5,6
233,01/22/2019 08,173.249.54.72,5,5,5
234,01/22/2019 08,54.36.149.75,1,0,1
235,01/22/2019 08,34.247.132.58,1,1,1
236,01/22/2019 08,2.185.221.84,1,1,1
237,01/22/2019 08,66.249.66.199,21,23,26
238,01/22/2019 08,51.15.15.59,2,2,2
239,01/22/2019 08,2.179.141.103,3,3,3
240,01/22/2019 08,54.36.148.37,1,1,1
241,01/22/2019 08,5.78.198.57,12,11,12
242,01/22/2019 08,66.249.66.96,17,18,18
243,01/22/2019 08,54.36.148.15,1,1,1
244,01/22/2019 08,54.36.149.22,1,1,1
245,01/22/2019 08,104.194.24.38,1,1,1
246,01/22/2019 08,54.36.148.23,0,1,1
247,01/22/2019 08,54.36.149.46,1,1,1
248,01/22/2019 08,157.55.39.250,3,3,3
249,01/22/2019 08,2.177.12.145,9,9,9
250,01/22/2019 08,54.36.148.92,1,1,1
251,01/22/2019 08,66.111.54.254,8,8,8
252,01/22/2019 08,46.224.77.37,3,3,3
253,01/22/2019 08,5.112.56.255,1,1,1
254,01/22/2019 08,54.36.148.22,1,1,0
255,01/22/2019 08,5.78.180.80,1,1,1
256,01/22/2019 08,204.18.198.253,7,7,7
257,01/22/2019 08,91.99.72.20,16,16,16
258,01/22/2019 08,5.209.200.223,6,6,5
259,01/22/2019 08,54.36.149.97,1,1,1
260,01/22/2019 08,54.36.149.68,1,1,1
261,01/22/2019 08,178.253.33.56,5,4,5
262,01/22/2019 08,66.249.64.71,1,1,1
263,01/22/2019 08,54.36.148.237,1,1,1
264,01/22/2019 08,89.199.194.255,1,1,0
265,01/22/2019 08,17.58.102.48,3,3,2
266,01/22/2019 08,207.46.13.120,4,4,4
267,01/22/2019 08,5.160.157.25,1,1,1
268,01/22/2019 08,54.36.149.40,1,1,1
269,01/22/2019 08,31.56.96.56,9,9,9
270,01/22/2019 08,40.77.167.134,4,4,4
271,01/22/2019 08,5.62.206.254,1,1,1
272,01/22/2019 08,172.20.2.179,1,1,1
273,01/22/2019 08,207.46.13.141,11,11,11
274,01/22/2019 08,54.36.149.63,1,1,1
275,01/22/2019 09,204.18.198.254,7,7,7
276,01/22/2019 09,5.160.157.26,1,1,1
277,01/22/2019 09,5.211.97.45,12,12,12
278,01/22/2019 09,5.78.198.58,11,11,12
279,01/22/2019 09,54.36.148.238,1,1,1
280,01/22/2019 09,2.177.12.146,9,9,9
281,01/22/2019 09,5.209.200.224,5,6,6
282,01/22/2019 09,54.36.149.64,1,1,1
283,01/22/2019 09,51.15.15.60,2,2,1
284,01/22/2019 09,66.249.66.200,25,26,26
285,01/22/2019 09,178.253.33.57,5,5,4
286,01/22/2019 09,2.179.141.104,3,3,3
287,01/22/2019 09,54.36.148.23,1,1,1
288,01/22/2019 09,173.249.54.73,5,5,5
289,01/22/2019 09,54.36.149.23,1,1,1
290,01/22/2019 09,5.78.180.81,1,1,1
291,01/22/2019 09,2.185.221.85,1,1,1
292,01/22/2019 09,172.20.2.180,1,1,1
293,01/22/2019 09,46.224.77.38,3,3,2
294,01/22/2019 09,66.111.54.255,8,8,8
295,01/22/2019 09,54.36.148.93,1,1,1
296,01/22/2019 09,207.46.13.142,11,11,11
297,01/22/2019 09,54.36.148.38,1,1,1
298,01/22/2019 09,31.56.96.57,9,9,9
299,01/22/2019 09,40.77.167.135,4,4,4
300,01/22/2019 09,66.249.64.72,1,1,1
301,01/22/2019 09,54.36.149.98,1,1,1
302,01/22/2019 09,157.55.39.251,3,3,2
303,01/22/2019 09,5.112.57.255,1,1,1
304,01/22/2019 09,54.36.148.24,1,1,0
305,01/22/2019 09,54.36.148.16,1,1,1
306,01/22/2019 09,207.46.13.110,5,6,6
307,01/22/2019 09,66.249.66.97,18,17,17
308,01/22/2019 09,34.247.132.59,1,1,1
309,01/22/2019 09,54.36.149.76,1,1,1
310,01/22/2019 09,89.199.195.255,1,1,1
311,01/22/2019 09,5.62.206.255,1,1,1
312,01/22/2019 09,54.36.149.41,1,1,1
313,01/22/2019 09,54.36.149.47,1,1,1
314,01/22/2019 09,207.46.13.121,4,4,3
315,01/22/2019 09,91.99.72.21,16,15,14
316,01/22/2019 09,104.194.24.39,1,1,1
317,01/22/2019 09,54.36.148.123,1,1,1
318,01/22/2019 09,54.36.148.167,1,1,1
319,01/22/2019 09,17.58.102.49,3,2,3
320,01/22/2019 09,54.36.149.69,1,1,1
321,01/22/2019 10,5.62.207.255,1,1,0
322,01/22/2019 10,17.58.102.50,2,3,3
323,01/22/2019 10,54.36.148.94,1,1,1
324,01/22/2019 10,2.179.141.105,3,3,3
325,01/22/2019 10,51.15.15.61,2,2,2
326,01/22/2019 10,5.211.97.46,12,12,11
327,01/22/2019 10,173.249.54.74,5,5,5
328,01/22/2019 10,46.224.77.39,3,3,3
329,01/22/2019 10,207.46.13.122,4,4,4
330,01/22/2019 10,5.78.180.82,1,1,1
331,01/22/2019 10,54.36.148.17,1,1,1
332,01/22/2019 10,54.36.148.168,1,1,1
333,01/22/2019 10,54.36.148.124,0,1,1
334,01/22/2019 10,5.160.157.27,1,1,1
335,01/22/2019 10,54.36.149.99,1,1,1
336,01/22/2019 10,207.46.13.143,11,10,11
337,01/22/2019 10,66.249.66.98,17,14,17
338,01/22/2019 10,54.36.149.70,1,1,1
339,01/22/2019 10,54.36.149.24,1,0,1
340,01/22/2019 10,178.253.33.58,5,5,5
341,01/22/2019 10,172.20.2.181,1,1,1
342,01/22/2019 10,104.194.24.40,1,1,1
343,01/22/2019 10,66.249.64.73,0,1,1
344,01/22/2019 10,54.36.148.39,1,1,1
345,01/22/2019 10,66.249.66.201,26,24,24
346,01/22/2019 10,54.36.149.65,1,1,1
347,01/22/2019 10,207.46.13.111,6,4,6
348,01/22/2019 10,157.55.39.252,3,2,3
349,01/22/2019 10,54.36.148.239,1,1,1
350,01/22/2019 10,54.36.149.42,1,1,1
351,01/22/2019 10,204.18.198.255,7,7,6
352,01/22/2019 10,54.36.148.24,1,1,1
353,01/22/2019 10,40.77.167.136,4,3,4
354,01/22/2019 10,54.36.148.25,1,1,1
355,01/22/2019 10,5.209.200.225,6,5,6
356,01/22/2019 10,54.36.149.77,1,1,1
357,01/22/2019 10,5.112.58.255,1,1,1
358,01/22/2019 10,89.199.196.255,1,1,1
359,01/22/2019 10,5.78.198.59,12,10,12
360,01/22/2019 10,54.36.149.48,1,1,1
361,01/22/2019 10,66.111.55.255,8,8,8
362,01/22/2019 10,2.177.12.147,9,8,9
363,01/22/2019 10,34.247.132.60,1,1,1
364,01/22/2019 10,31.56.96.58,8,9,9
365,01/22/2019 10,91.99.72.22,14,15,14
366,01/22/2019 10,2.185.221.86,1,1,0
367,01/22/2019 11,2.177.12.148,8,9,9
368,01/22/2019 11,207.46.13.123,4,4,3
369,01/22/2019 11,5.160.157.28,1,1,1
370,01/22/2019 11,204.18.199.255,7,7,7
371,01/22/2019 11,178.253.33.59,5,5,5
372,01/22/2019 11,51.15.15.62,2,1,2
373,01/22/2019 11,5.209.200.226,6,6,6
374,01/22/2019 11,54.36.149.43,0,1,1
375,01/22/2019 11,157.55.39.253,3,3,3
376,01/22/2019 11,66.249.66.99,18,18,17
377,01/22/2019 11,54.36.149.78,1,1,1
378,01/22/2019 11,54.36.148.169,1,1,1
379,01/22/2019 11,54.36.149.66,1,1,1
380,01/22/2019 11,5.62.208.255,1,1,1
381,01/22/2019 11,54.36.149.100,1,1,1
382,01/22/2019 11,17.58.102.51,3,3,3
383,01/22/2019 11,5.211.97.47,11,12,12
384,01/22/2019 11,5.78.198.60,12,11,12
385,01/22/2019 11,54.36.148.95,1,1,1
386,01/22/2019 11,54.36.148.26,0,1,1
387,01/22/2019 11,54.36.148.18,1,1,1
388,01/22/2019 11,54.36.149.25,1,1,1
389,01/22/2019 11,5.78.180.83,1,1,1
390,01/22/2019 11,54.36.148.240,1,1,1
391,01/22/2019 11,2.179.141.106,3,3,3
392,01/22/2019 11,66.249.64.74,0,1,1
393,01/22/2019 11,54.36.148.125,1,1,1
394,01/22/2019 11,34.247.132.61,1,1,1
395,01/22/2019 11,172.20.2.182,1,1,1
396,01/22/2019 11,46.224.77.40,3,2,3
397,01/22/2019 11,91.99.72.23,16,15,15
398,01/22/2019 11,40.77.167.137,4,4,4
399,01/22/2019 11,66.249.66.202,26,24,26
400,01/22/2019 11,104.194.24.41,1,1,1
401,01/22/2019 11,207.46.13.112,6,5,6
402,01/22/2019 11,54.36.149.49,0,1,1
403,01/22/2019 11,54.36.148.40,1,1,1
404,01/22/2019 11,54.36.148.25,1,1,1
405,01/22/2019 11,66.111.56.255,8,8,7
406,01/22/2019 11,54.36.149.71,1,1,1
407,01/22/2019 11,89.199.197.255,1,1,1
408,01/22/2019 11,5.112.59.255,1,1,1
409,01/22/2019 11,31.56.96.59,9,9,9
410,01/22/2019 11,173.249.54.75,5,5,4
411,01/22/2019 11,2.185.221.87,0,1,1
412,01/22/2019 11,207.46.13.144,10,9,9
413,01/22/2019 12,34.247.132.62,1,1,1
414,01/22/2019 12,178.253.33.60,5,5,5
415,01/22/2019 12,5.209.200.227,6,6,6
416,01/22/2019 12,207.46.13.145,10,11,10
417,01/22/2019 12,5.78.180.84,1,1,1
418,01/22/2019 12,5.211.97.48,12,11,11
419,01/22/2019 12,54.36.149.101,0,1,1
420,01/22/2019 12,54.36.148.19,1,1,1
421,01/22/2019 12,54.36.148.26,1,1,1
422,01/22/2019 12,89.199.198.255,1,1,1
423,01/22/2019 12,54.36.148.41,1,1,1
424,01/22/2019 12,54.36.148.126,1,1,1
425,01/22/2019 12,54.36.148.27,0,1,1
426,01/22/2019 12,54.36.149.50,1,1,1
427,01/22/2019 12,54.36.149.79,1,1,1
428,01/22/2019 12,40.77.167.138,4,4,4
429,01/22/2019 12,2.185.221.88,1,1,1
430,01/22/2019 12,17.58.102.52,3,3,2
431,01/22/2019 12,5.112.60.255,1,1,1
432,01/22/2019 12,54.36.149.44,1,1,1
433,01/22/2019 12,66.249.66.203,25,24,25
434,01/22/2019 12,5.62.209.255,1,1,1
435,01/22/2019 12,54.36.149.67,1,1,1
436,01/22/2019 12,66.111.57.255,8,8,7
437,01/22/2019 12,54.36.148.170,1,1,1
438,01/22/2019 12,157.55.39.254,3,3,3
439,01/22/2019 12,66.249.64.75,1,1,1
440,01/22/2019 12,2.177.12.149,9,9,9
441,01/22/2019 12,2.179.141.107,3,3,3
442,01/22/2019 12,31.56.96.60,9,9,9
443,01/22/2019 12,204.18.200.255,7,7,7
444,01/22/2019 12,54.36.148.241,1,1,1
445,01/22/2019 12,54.36.149.72,1,1,1
446,01/22/2019 12,46.224.77.41,3,3,3
447,01/22/2019 12,172.20.2.183,1,1,1
448,01/22/2019 12,207.46.13.124,4,4,4
449,01/22/2019 12,5.160.157.29,1,1,1
450,01/22/2019 12,54.36.148.96,1,1,0
451,01/22/2019 12,207.46.13.113,4,6,6
452,01/22/2019 12,66.249.66.100,16,18,18
453,01/22/2019 12,104.194.24.42,1,1,1
454,01/22/2019 12,173.249.54.76,5,5,5
455,01/22/2019 12,5.78.198.61,11,11,12
456,01/22/2019 12,54.36.149.26,1,1,1
457,01/22/2019 12,51.15.15.63,2,2,2
458,01/22/2019 12,91.99.72.24,15,12,16
459,01/22/2019 13,54.36.148.127,1,1,0
460,01/22/2019 13,54.36.149.51,0,1,1
461,01/22/2019 13,51.15.15.64,2,2,2
462,01/22/2019 13,54.36.149.102,1,1,0
463,01/22/2019 13,89.199.199.255,1,1,1
464,01/22/2019 13,157.55.39.255,3,3,3
465,01/22/2019 13,5.78.180.85,1,1,1
466,01/22/2019 13,54.36.148.27,1,1,0
467,01/22/2019 13,178.253.33.61,5,5,5
468,01/22/2019 13,2.185.221.89,1,1,1
469,01/22/2019 13,54.36.148.20,0,1,1
470,01/22/2019 13,54.36.149.80,1,1,0
471,01/22/2019 13,66.249.66.101,17,18,18
472,01/22/2019 13,91.99.72.25,13,13,16
473,01/22/2019 13,54.36.149.27,1,1,0
474,01/22/2019 13,54.36.148.242,1,1,1
475,01/22/2019 13,5.62.210.255,1,1,1
476,01/22/2019 13,207.46.13.114,6,6,5
477,01/22/2019 13,5.78.198.62,12,11,12
478,01/22/2019 13,207.46.13.125,4,4,4
479,01/22/2019 13,5.160.157.30,1,1,1
480,01/22/2019 13,34.247.132.63,1,1,0
481,01/22/2019 13,5.112.61.255,1,1,1
482,01/22/2019 13,54.36.149.45,1,1,1
483,01/22/2019 13,66.249.66.204,25,24,25
484,01/22/2019 13,31.56.96.61,9,9,9
485,01/22/2019 13,54.36.148.171,1,1,1
486,01/22/2019 13,173.249.54.77,5,5,5
487,01/22/2019 13,54.36.149.73,1,1,1
488,01/22/2019 13,40.77.167.139,3,4,4
489,01/22/2019 13,172.20.2.184,1,1,1
490,01/22/2019 13,17.58.102.53,2,3,2
491,01/22/2019 13,66.111.58.255,8,8,8
492,01/22/2019 13,104.194.24.43,1,1,1
493,01/22/2019 13,207.46.13.146,11,11,11
494,01/22/2019 13,66.249.64.76,1,1,1
495,01/22/2019 13,46.224.77.42,3,3,3
496,01/22/2019 13,5.211.97.49,11,12,10
497,01/22/2019 13,2.179.141.108,3,3,3
498,01/22/2019 13,2.177.12.150,9,9,9
499,01/22/2019 13,204.18.201.255,6,7,6
500,01/22/2019 13,54.36.148.28,1,1,1
501,01/22/2019 13,54.36.149.68,1,1,1
502,01/22/2019 13,54.36.148.42,1,1,1
503,01/22/2019 13,5.209.200.228,6,6,6
504,01/22/2019 13,54.36.148.97,1,1,1
505,01/22/2019 14,17.58.102.54,3,2,3
506,01/22/2019 14,54.36.149.52,1,1,1
507,01/22/2019 14,54.36.148.243,1,1,1
508,01/22/2019 14,54.36.148.29,1,1,1
509,01/22/2019 14,54.36.148.98,1,1,1
510,01/22/2019 14,5.62.211.255,1,1,0
511,01/22/2019 14,5.78.198.63,11,11,12
512,01/22/2019 14,172.20.2.185,0,1,1
513,01/22/2019 14,46.224.77.43,3,3,3
514,01/22/2019 14,54.36.148.21,1,1,1
515,01/22/2019 14,207.46.13.126,4,4,3
516,01/22/2019 14,34.247.132.64,1,1,1
517,01/22/2019 14,204.18.202.255,7,7,7
518,01/22/2019 14,54.36.149.81,1,1,1
519,01/22/2019 14,104.194.24.44,1,1,0
520,01/22/2019 14,157.55.40.255,3,3,1
521,01/22/2019 14,54.36.148.28,1,1,1
522,01/22/2019 14,207.46.13.147,10,10,10
523,01/22/2019 14,54.36.148.128,1,1,1
524,01/22/2019 14,91.99.72.26,16,14,15
525,01/22/2019 14,5.160.157.31,1,1,1
526,01/22/2019 14,66.249.66.205,23,25,24
527,01/22/2019 14,66.111.59.255,8,8,8
528,01/22/2019 14,54.36.149.28,1,1,1
529,01/22/2019 14,51.15.15.65,2,2,2
530,01/22/2019 14,89.199.200.255,1,1,1
531,01/22/2019 14,54.36.148.43,1,1,1
532,01/22/2019 14,31.56.96.62,9,9,9
533,01/22/2019 14,54.36.148.172,1,1,1
534,01/22/2019 14,66.249.66.102,17,16,17
535,01/22/2019 14,54.36.149.74,1,1,1
536,01/22/2019 14,207.46.13.115,5,5,5
537,01/22/2019 14,66.249.64.77,1,1,1
538,01/22/2019 14,54.36.149.69,1,1,1
539,01/22/2019 14,54.36.149.103,1,1,0
540,01/22/2019 14,2.179.141.109,3,3,3
541,01/22/2019 14,173.249.54.78,5,5,5
542,01/22/2019 14,5.112.62.255,1,1,1
543,01/22/2019 14,178.253.33.62,5,3,5
544,01/22/2019 14,5.209.200.229,6,6,6
545,01/22/2019 14,2.177.12.151,9,8,9
546,01/22/2019 14,5.211.97.50,12,12,12
547,01/22/2019 14,5.78.180.86,1,1,1
548,01/22/2019 14,2.185.221.90,1,1,1
549,01/22/2019 14,40.77.167.140,4,4,4
550,01/22/2019 14,54.36.149.46,1,1,1
551,01/22/2019 15,66.249.66.206,23,25,23
552,01/22/2019 15,54.36.148.29,1,1,0
553,01/22/2019 15,5.78.198.64,12,12,12
554,01/22/2019 15,207.46.13.127,4,4,4
555,01/22/2019 15,46.224.77.44,3,3,3
556,01/22/2019 15,2.185.221.91,1,1,1
